"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2025,"Abilene Christian",46.6891477621091,332,20.7404334750596,350,30.0692383778437,178,37.155119558553,61
2025,"Air Force",50.0928217821782,221,20.7212878856012,348,22.7360308285164,343,35.3960396039604,112
2025,"Akron",55.4337231968811,31,16.5818244302683,139,33.0122591943958,86,26.8031189083821,333
2025,"Alabama",56.3499529633114,15,16.6546624174913,149,34.718826405868,40,40.1222953904045,25
2025,"Alabama A&M",45.0980392156863,353,21.938360284491,360,33.9115351257589,62,38.5813148788927,39
2025,"Alabama St.",47.0559845559846,327,13.2447436289723,5,28.2592313489073,229,29.8745173745174,274
2025,"Albany",49.2643194955334,261,15.7158096614922,78,32.3581560283688,103,29.4797687861272,289
2025,"Alcorn St.",46.112676056338,339,19.588828549263,323,33.5793357933579,71,30.3661971830986,263
2025,"American",51.8044237485448,120,16.7600463678516,156,23.767258382643,335,29.4528521536671,291
2025,"Appalachian St.",49.711353431687,241,16.8897793974275,163,27.5347912524851,250,35.1507376523412,116
2025,"Arizona",52.8785679729076,83,16.2250708546764,116,35.893011216566,19,36.5747460087083,72
2025,"Arizona St.",51.4433551198257,140,17.4577919207991,204,25.1785714285714,318,35.8932461873638,93
2025,"Arkansas",52.7315296566077,88,16.4960821804821,132,27.5611967361741,249,35.5359001040583,107
2025,"Arkansas Pine Bluff",50.2667457024303,207,20.4455221929011,341,26.340545625588,282,32.8393598103142,184
2025,"Arkansas St.",49.2604961832061,262,14.9539897778798,36,33.953488372093,61,34.2080152671756,144
2025,"Army",49.6899661781285,242,14.7149293148982,28,25.7914338919926,302,25.76099210823,346
2025,"Auburn",55.7114721811915,26,13.3689107077304,6,34.3443354148082,51,33.5302806499261,168
2025,"Austin Peay",48.6970684039088,282,14.7535619738838,30,25.7867132867133,303,28.9359391965255,302
2025,"BYU",57.1827411167513,7,17.5533869808723,207,33.3030027297543,77,30.1522842639594,270
2025,"Ball St.",51.3285806869734,145,16.3965261157486,129,26.3655462184874,280,44.4588464031108,6
2025,"Baylor",51.5412748171369,136,16.1112802379224,106,35.573476702509,25,31.0344827586207,242
2025,"Bellarmine",53.6600496277916,62,17.4071269969525,197,20.2420242024202,358,26.4888337468983,336
2025,"Belmont",54.8247841543931,40,15.9394301653716,94,27.1844660194175,260,26.0538344337227,342
2025,"Bethune Cookman",48.1818181818182,297,19.4939407784522,316,28.8428324697755,216,35.8823529411765,94
2025,"Binghamton",51.5933715742511,130,19.5820864918205,322,26.8783068783069,269,33.6520076481836,160
2025,"Boise St.",52.0925110132159,113,16.8768609958268,161,33.2064700285442,78,39.1519823788546,33
2025,"Boston College",48.9232468249586,272,17.2708126785599,187,28.83046237534,218,31.5295416896742,219
2025,"Boston University",50.1782531194296,213,20.5938816724426,342,32.4561403508772,100,30.718954248366,253
2025,"Bowling Green",49.8256827425915,232,17.4532969325592,202,25.5481410867493,310,34.4567112144102,136
2025,"Bradley",56.7805953693495,8,17.3284221095323,192,26.3105835806133,283,32.4145534729879,191
2025,"Brown",51.1334196891192,154,17.1157919924555,175,30.1295896328294,175,27.979274611399,322
2025,"Bryant",51.0110736639384,165,16.5091454496136,134,34.199837530463,54,30.4285026480501,261
2025,"Bucknell",53.8378378378378,57,18.6099485862564,281,25.9944495837188,294,36.7027027027027,68
2025,"Buffalo",48.8179669030733,275,19.538644357261,320,24.8359887535145,322,32.74231678487,187
2025,"Butler",53.046103183315,80,16.3745051198367,126,26.4485981308411,278,37.2667398463227,59
2025,"CSUN",51.8167028199566,119,18.9306465500037,292,35.4243542435424,29,35.7917570498915,100
2025,"Cal Baptist",48.2767624020888,294,17.6736892109224,213,33.3044232437121,76,29.7127937336815,281
2025,"Cal Poly",55.2221172022684,35,20.6924612016352,347,27.6003276003276,247,26.8431001890359,332
2025,"Cal St. Bakersfield",48.2490272373541,296,18.820950815376,290,35.6481481481481,23,34.5191773207337,133
2025,"Cal St. Fullerton",44.1692789968652,359,21.2823845944557,355,25.8555133079848,300,39.1849529780564,32
