"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2025,"Abilene Christian",51.4112903225806,213,24.0101018111279,1,31.4507198228128,265,51.2768817204301,364
2025,"Air Force",54.6359499431172,334,15.6848637467398,281,29.064039408867,143,35.4379977246871,245
2025,"Akron",49.5417515274949,113,17.1402796571944,179,29.0295358649789,137,33.7067209775967,202
2025,"Alabama",47.8638184245661,50,13.5368464672975,348,29.2110874200426,153,33.8673787271918,206
2025,"Alabama A&M",54.3014032946919,327,20.9947748959107,22,34.6473029045643,350,46.6748017083588,359
2025,"Alabama St.",50.3472222222222,149,18.6213227258819,91,31.0671256454389,246,38.7286324786325,308
2025,"Albany",54.9502050380785,344,19.8196412644931,51,28.4491978609626,107,34.680726420621,222
2025,"Alcorn St.",52.9799426934097,277,18.3281613653995,99,32.5443786982249,314,31.4613180515759,140
2025,"American",52.0821114369502,243,17.6294435857805,144,27.4111675126904,63,34.1348973607038,213
2025,"Appalachian St.",46.0824143934997,12,14.7382151429782,325,29.5158286778399,166,22.2286709228091,7
2025,"Arizona",48.5632183908046,74,16.6410983124886,212,28.4615384615385,108,29.1666666666667,80
2025,"Arizona St.",50.5348955680082,162,16.0434897905065,259,30.3862660944206,216,31.2277126846663,132
2025,"Arkansas",48.2680722891566,60,17.5672563480459,150,28.3097418817652,100,29.4176706827309,87
2025,"Arkansas Pine Bluff",56.2889518413598,355,16.8318950146209,194,34.6456692913386,349,40.4532577903683,337
2025,"Arkansas St.",45.694022289767,8,17.047548346783,183,30.370942812983,215,37.5886524822695,295
2025,"Army",53.747870528109,310,15.9577442908187,267,29.3069306930693,159,27.1436683702442,43
2025,"Auburn",46.0021041557075,11,17.4015001671114,161,30.2828618968386,213,39.242503945292,317
2025,"Austin Peay",53.7564029595902,311,16.8476159314673,193,31.15234375,250,35.9704040978941,261
2025,"BYU",50.5998956703182,165,17.2023192412548,174,25.9983007646559,28,29.4731351069379,90
2025,"Ball St.",51.6378796902918,225,14.0615777764806,339,27.9306829765545,81,30.6730196545563,120
2025,"Baylor",51.1562323745065,195,18.7808819052526,84,31.2440645773979,254,33.502538071066,196
